Time,Filename,Prediction,Confidence
2026-05-09 23:41:59,subject_6_F_30_25072024_left_2_gei.png,Subject 76,100.00%
2026-05-09 23:41:59,subject_6_F_30_25072024_right_1_gei.png,Subject 76,100.00%
2026-05-10 00:02:39,subject_1_F_58_22072024_left_1_gei.png,subject,100.00%
2026-05-10 00:03:02,subject_1_F_58_22072024_left_1_gei.png,subject,100.00%
2026-05-10 00:03:02,subject_2_F_56_22072024_left_2_gei.png,Subject 32,100.00%
2026-05-10 00:03:03,subject_2_F_56_22072024_left_3_gei.png,Subject 32,100.00%
2026-05-10 00:03:03,subject_2_F_56_22072024_right_1_gei.png,Subject 32,100.00%
2026-05-10 00:03:03,subject_2_F_56_22072024_right_2_gei.png,Subject 32,100.00%
2026-05-10 21:03:54,subject_1_F_58_22072024_left_1_gei.png,subject,100.00%
2026-05-10 21:03:58,subject_1_F_58_22072024_left_2_gei.png,subject,100.00%
2026-05-10 21:03:58,subject_1_F_58_22072024_left_3_gei.png,subject,100.00%
2026-05-10 21:03:59,subject_1_F_58_22072024_right_1_gei.png,subject,100.00%
2026-05-10 21:03:59,subject_1_F_58_22072024_right_2_gei.png,subject,100.00%
2026-05-10 21:03:59,subject_1_F_58_22072024_right_3_gei.png,subject,100.00%
2026-05-10 21:04:00,subject_2_F_56_22072024_left_1_gei.png,Subject 32,100.00%
2026-05-10 21:04:00,subject_2_F_56_22072024_left_2_gei.png,Subject 32,100.00%
2026-05-10 21:04:01,subject_2_F_56_22072024_left_3_gei.png,Subject 32,100.00%
2026-05-10 21:04:01,subject_2_F_56_22072024_right_1_gei.png,Subject 32,100.00%
2026-05-10 21:04:02,subject_2_F_56_22072024_right_2_gei.png,Subject 32,100.00%
2026-05-10 21:04:02,subject_6_F_30_25072024_left_2_gei.png,Subject 76,100.00%
2026-05-10 21:04:02,subject_6_F_30_25072024_right_1_gei.png,Subject 76,100.00%
2026-05-10 21:04:03,subject_6_F_30_25072024_right_2_gei.png,Subject 76,100.00%
2026-05-10 21:28:50,subject_1_F_58_22072024_left_1_gei.png,subject,100.00%
2026-05-10 21:35:38,subject_1_F_58_22072024_left_1_gei.png,subject,100.00%
2026-05-10 21:36:31,subject_1_F_58_22072024_left_1_gei.png,subject,100.00%
2026-05-10 21:37:23,subject_1_F_58_22072024_left_1_gei.png,subject,100.00%
2026-05-10 23:24:29,subject_1_F_58_22072024_left_1_gei.png,subject,100.00%
